Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
system,12:41:43,30.0,83.2,ON,OFF,Outside capture hours,2026-02-15 01:11:58
system,12:41:48,30.0,83.1,ON,OFF,Strong light detected,2026-02-15 01:12:04
system,12:41:53,30.1,82.9,ON,OFF,Strong light detected,2026-02-15 01:12:09
system,12:41:58,30.8,82.6,ON,OFF,Strong light detected,2026-02-15 01:12:14
system,12:42:03,30.2,82.4,ON,OFF,Strong light detected,2026-02-15 01:12:19
system,12:42:08,30.2,82.1,ON,OFF,Strong light detected,2026-02-15 01:12:24
system,12:42:13,30.3,82.1,OFF,OFF,Strong light detected,2026-02-15 01:12:29
system,12:42:18,30.3,82.1,OFF,OFF,Strong light detected,2026-02-15 01:12:34
system,12:42:23,30.3,82.0,OFF,OFF,Strong light detected,2026-02-15 01:12:39
system,12:42:28,30.4,82.0,OFF,OFF,Strong light detected,2026-02-15 01:12:44
system,12:42:33,30.4,81.8,OFF,OFF,Strong light detected,2026-02-15 01:12:49
system,12:42:38,30.4,81.1,OFF,OFF,Strong light detected,2026-02-15 01:12:54
system,12:42:43,30.4,80.5,OFF,OFF,Strong light detected,2026-02-15 01:12:59
system,12:42:48,30.5,80.1,OFF,OFF,Strong light detected,2026-02-15 01:13:04
system,12:42:53,30.5,80.3,OFF,OFF,Strong light detected,2026-02-15 01:13:09
system,12:42:58,30.5,80.5,OFF,OFF,Strong light detected,2026-02-15 01:13:14
system,12:43:03,30.5,80.2,OFF,OFF,Strong light detected,2026-02-15 01:13:19
system,12:43:08,31.2,79.8,OFF,OFF,Strong light detected,2026-02-15 01:13:24
system,12:43:13,31.2,79.7,ON,OFF,Strong light detected,2026-02-15 01:13:29
system,12:43:18,29.9,79.0,ON,OFF,Strong light detected,2026-02-15 01:13:34
system,12:43:23,30.6,79.0,ON,OFF,Strong light detected,2026-02-15 01:13:39
system,12:43:28,30.6,79.2,ON,OFF,Strong light detected,2026-02-15 01:13:44
system,12:43:33,30.6,79.5,ON,OFF,Strong light detected,2026-02-15 01:13:49
system,12:43:38,30.6,80.1,ON,OFF,Strong light detected,2026-02-15 01:13:54
system,12:43:43,30.6,80.8,OFF,OFF,Strong light detected,2026-02-15 01:13:59
system,12:43:48,30.6,80.6,OFF,OFF,Strong light detected,2026-02-15 01:14:04
system,12:43:53,31.3,80.6,OFF,OFF,Strong light detected,2026-02-15 01:14:09
system,12:43:58,30.0,80.7,OFF,OFF,Strong light detected,2026-02-15 01:14:14
system,12:44:03,30.7,80.4,OFF,OFF,Strong light detected,2026-02-15 01:14:19
system,12:44:08,30.7,80.2,OFF,OFF,Strong light detected,2026-02-15 01:14:24
system,12:44:13,30.7,79.9,OFF,OFF,Strong light detected,2026-02-15 01:14:29
system,12:44:18,30.7,79.7,OFF,OFF,Strong light detected,2026-02-15 01:14:34
system,12:44:23,30.7,80.0,OFF,OFF,Strong light detected,2026-02-15 01:14:39
