Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
system,20:57:07,27.7,74.8,OFF,OFF,Outside capture hours,2026-02-10 20:57:07
system,20:57:12,27.7,74.7,OFF,OFF,Outside capture hours,2026-02-10 20:57:15
system,20:57:17,27.8,74.6,OFF,OFF,Outside capture hours,2026-02-10 20:57:17
system,20:57:22,27.8,74.5,OFF,OFF,Outside capture hours,2026-02-10 20:57:23
system,20:57:27,27.8,74.4,OFF,OFF,Outside capture hours,2026-02-10 20:57:28
system,20:57:32,27.8,74.4,OFF,OFF,Outside capture hours,2026-02-10 20:57:33
internet,21:02:26,26.9,75.2,ON,OFF,Strong light detected,2026-02-10 21:02:26
internet,21:02:31,27.6,75.0,ON,OFF,Strong light detected,2026-02-10 21:02:45
internet,21:02:36,27.6,74.8,ON,OFF,Strong light detected,2026-02-10 21:02:46
internet,21:02:41,27.7,74.6,OFF,OFF,Strong light detected,2026-02-10 21:02:46
internet,21:02:46,27.7,74.5,OFF,OFF,Strong light detected,2026-02-10 21:02:47
internet,21:02:51,27.1,74.3,OFF,OFF,Strong light detected,2026-02-10 21:02:52
internet,21:02:56,27.8,74.2,OFF,OFF,Strong light detected,2026-02-10 21:02:57
internet,21:03:01,27.8,74.1,OFF,ON,Strong light detected,2026-02-10 21:03:01
internet,21:03:06,27.8,74.0,OFF,OFF,Strong light detected,2026-02-10 21:03:06
internet,21:03:11,27.8,74.0,OFF,OFF,Strong light detected,2026-02-10 21:03:11
internet,21:03:16,27.9,73.9,OFF,OFF,Strong light detected,2026-02-10 21:03:16
internet,21:03:21,27.9,73.8,OFF,OFF,Strong light detected,2026-02-10 21:03:21
internet,21:03:26,27.9,73.8,OFF,OFF,Strong light detected,2026-02-10 21:03:26
internet,21:03:31,27.9,73.8,OFF,OFF,Strong light detected,2026-02-10 21:03:31
internet,21:03:36,28.6,73.8,OFF,OFF,Strong light detected,2026-02-10 21:03:36
internet,21:03:41,28.0,73.7,OFF,OFF,Strong light detected,2026-02-10 21:03:41
internet,21:03:46,28.0,73.7,OFF,OFF,Strong light detected,2026-02-10 21:03:46
internet,21:03:51,28.0,73.6,OFF,OFF,Strong light detected,2026-02-10 21:03:51
internet,21:03:56,28.0,73.5,ON,OFF,Fireflies detected,2026-02-10 21:03:56
internet,21:04:01,28.0,73.4,ON,OFF,No fireflies detected,2026-02-10 21:04:01
internet,21:04:06,28.1,73.4,ON,OFF,No fireflies detected,2026-02-10 21:04:06
internet,21:04:11,28.0,73.5,ON,OFF,No fireflies detected,2026-02-10 21:04:11
internet,21:04:16,28.1,73.5,ON,OFF,No fireflies detected,2026-02-10 21:04:16
internet,21:04:21,28.1,73.5,ON,OFF,Fireflies detected,2026-02-10 21:04:23
internet,21:04:26,28.1,73.5,OFF,OFF,Fireflies detected,2026-02-10 21:04:30
internet,21:04:31,28.1,73.5,OFF,OFF,Fireflies detected,2026-02-10 21:04:31
internet,21:04:36,28.1,73.5,OFF,OFF,No fireflies detected,2026-02-10 21:04:36
internet,21:04:41,28.1,73.5,OFF,OFF,Fireflies detected,2026-02-10 21:04:41
internet,21:04:46,28.1,73.4,OFF,OFF,Fireflies detected,2026-02-10 21:04:46
internet,21:04:51,28.1,73.4,OFF,OFF,No fireflies detected,2026-02-10 21:04:51
internet,21:04:56,28.8,73.4,OFF,OFF,No fireflies detected,2026-02-10 21:04:59
internet,21:05:01,28.1,73.4,OFF,OFF,No fireflies detected,2026-02-10 21:05:01
internet,21:05:06,28.1,73.4,OFF,OFF,Fireflies detected,2026-02-10 21:05:06
internet,21:05:11,28.2,73.4,OFF,OFF,Fireflies detected,2026-02-10 21:05:11
internet,21:05:16,28.2,73.4,OFF,OFF,Fireflies detected,2026-02-10 21:05:30
internet,21:05:21,28.2,73.3,OFF,OFF,Fireflies detected,2026-02-10 21:05:33
internet,21:05:26,28.2,73.3,ON,OFF,Fireflies detected,2026-02-10 21:05:34
internet,21:05:32,28.2,73.2,ON,OFF,Fireflies detected,2026-02-10 21:05:34
internet,21:05:37,28.2,73.2,ON,OFF,No fireflies detected,2026-02-10 21:05:37
internet,21:05:42,28.2,73.3,ON,ON,No fireflies detected,2026-02-10 21:05:42
internet,21:05:47,28.2,73.2,ON,ON,No fireflies detected,2026-02-10 21:05:47
internet,21:05:52,28.2,73.2,ON,OFF,No fireflies detected,2026-02-10 21:05:52
internet,21:05:57,28.2,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:05:57
internet,21:06:02,28.2,73.2,OFF,OFF,Strong light detected,2026-02-10 21:06:02
internet,21:06:07,28.2,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:06:07
internet,21:06:12,28.2,73.2,OFF,OFF,Strong light detected,2026-02-10 21:06:12
internet,21:06:17,28.9,73.1,OFF,OFF,Strong light detected,2026-02-10 21:06:17
internet,21:06:22,28.2,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:06:23
internet,21:06:27,28.3,73.1,OFF,OFF,Strong light detected,2026-02-10 21:06:27
internet,21:06:32,28.3,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:06:32
internet,21:06:37,28.3,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:06:39
internet,21:06:42,28.3,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:06:43
internet,21:06:47,28.3,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:06:47
internet,21:06:52,28.3,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:06:52
internet,21:06:57,28.3,73.1,ON,OFF,Strong light detected,2026-02-10 21:06:57
internet,21:07:02,28.3,73.0,ON,OFF,No fireflies detected,2026-02-10 21:07:02
internet,21:07:07,28.3,73.1,ON,OFF,No fireflies detected,2026-02-10 21:07:07
internet,21:07:12,28.3,73.1,ON,OFF,No fireflies detected,2026-02-10 21:07:12
internet,21:07:17,28.3,73.1,ON,OFF,No fireflies detected,2026-02-10 21:07:17
internet,21:07:22,28.3,73.2,ON,OFF,No fireflies detected,2026-02-10 21:07:22
internet,21:07:27,28.3,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:07:27
internet,21:07:32,28.3,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:07:32
internet,21:07:37,28.3,73.2,OFF,OFF,Strong light detected,2026-02-10 21:07:37
internet,21:07:42,28.3,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:07:42
internet,21:07:47,28.3,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:07:47
internet,21:07:52,27.7,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:07:52
internet,21:07:57,28.4,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:07:57
internet,21:08:02,29.0,73.2,OFF,OFF,No fireflies detected,2026-02-10 21:08:02
internet,21:08:07,29.0,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:08:07
internet,21:08:12,28.4,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:08:12
internet,21:08:17,28.4,73.1,OFF,OFF,No fireflies detected,2026-02-10 21:08:20
internet,21:08:22,28.4,73.1,OFF,OFF,Fireflies detected,2026-02-10 21:08:24
internet,21:08:27,28.4,73.1,ON,OFF,Strong light detected,2026-02-10 21:08:29
internet,21:08:32,28.4,73.1,ON,OFF,Strong light detected,2026-02-10 21:08:35
internet,21:08:37,28.4,73.1,ON,OFF,Strong light detected,2026-02-10 21:08:38
internet,21:08:42,28.4,73.1,ON,OFF,Strong light detected,2026-02-10 21:08:42
internet,21:08:47,28.4,73.0,ON,OFF,Strong light detected,2026-02-10 21:08:47
internet,21:08:52,28.4,73.0,ON,OFF,Strong light detected,2026-02-10 21:08:52
internet,21:08:57,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:08:57
internet,21:09:02,28.4,73.0,OFF,OFF,Fireflies detected,2026-02-10 21:09:02
internet,21:09:07,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:07
internet,21:09:12,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:12
internet,21:09:17,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:17
internet,21:09:22,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:22
internet,21:09:27,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:27
internet,21:09:32,28.4,73.0,OFF,OFF,Fireflies detected,2026-02-10 21:09:32
internet,21:09:37,28.4,72.9,OFF,OFF,Strong light detected,2026-02-10 21:09:37
internet,21:09:42,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:42
internet,21:09:47,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:47
internet,21:09:52,28.4,73.0,OFF,OFF,Strong light detected,2026-02-10 21:09:53
internet,21:09:57,28.4,73.0,ON,OFF,Strong light detected,2026-02-10 21:09:58
internet,21:10:02,27.8,73.0,ON,OFF,Fireflies detected,2026-02-10 21:10:03
internet,21:10:07,28.4,72.9,ON,OFF,Strong light detected,2026-02-10 21:10:08
internet,21:10:13,28.5,72.9,ON,OFF,Strong light detected,2026-02-10 21:10:13
internet,21:10:18,29.1,72.9,ON,OFF,Strong light detected,2026-02-10 21:10:18
internet,21:10:23,28.4,72.9,ON,OFF,Fireflies detected,2026-02-10 21:10:23
internet,21:10:28,28.5,72.9,OFF,OFF,Fireflies detected,2026-02-10 21:10:28
internet,21:10:33,29.1,73.0,OFF,OFF,Fireflies detected,2026-02-10 21:10:33
internet,21:10:38,27.8,73.0,OFF,OFF,Fireflies detected,2026-02-10 21:10:38
internet,21:10:43,28.5,73.0,OFF,OFF,Fireflies detected,2026-02-10 21:10:43
internet,21:10:48,28.5,73.0,OFF,OFF,Fireflies detected,2026-02-10 21:10:48
internet,21:10:53,28.5,72.9,OFF,ON,Strong light detected,2026-02-10 21:10:53
internet,21:10:58,28.5,72.9,OFF,ON,Strong light detected,2026-02-10 21:10:58
internet,21:11:03,28.5,72.9,OFF,ON,Strong light detected,2026-02-10 21:11:03
internet,21:11:08,28.5,72.8,OFF,ON,Fireflies detected,2026-02-10 21:11:08
internet,21:11:13,28.5,72.8,OFF,ON,Fireflies detected,2026-02-10 21:11:13
internet,21:11:18,28.5,72.8,OFF,ON,Strong light detected,2026-02-10 21:11:18
internet,21:11:23,28.5,72.8,OFF,OFF,Strong light detected,2026-02-10 21:11:23
internet,21:11:28,28.5,72.8,ON,OFF,Strong light detected,2026-02-10 21:11:28
internet,21:11:33,28.5,72.8,ON,OFF,Strong light detected,2026-02-10 21:11:33
internet,21:11:38,28.5,72.7,ON,OFF,Strong light detected,2026-02-10 21:11:38
internet,21:11:43,28.5,72.7,ON,OFF,Strong light detected,2026-02-10 21:11:43
internet,21:11:48,28.5,72.8,ON,OFF,Strong light detected,2026-02-10 21:11:48
internet,21:11:53,28.5,72.8,ON,OFF,Strong light detected,2026-02-10 21:11:53
internet,21:11:58,28.5,72.8,OFF,OFF,No fireflies detected,2026-02-10 21:11:58
internet,21:12:03,28.5,72.8,OFF,OFF,No fireflies detected,2026-02-10 21:12:24
internet,21:12:08,28.5,72.8,OFF,OFF,No fireflies detected,2026-02-10 21:12:33
internet,21:12:13,28.5,72.8,OFF,OFF,No fireflies detected,2026-02-10 21:12:46
internet,21:12:18,28.5,72.7,OFF,OFF,No fireflies detected,2026-02-10 21:12:53
internet,21:12:23,28.5,72.8,OFF,OFF,No fireflies detected,2026-02-10 21:12:59
internet,21:12:28,28.5,72.7,OFF,ON,No fireflies detected,2026-02-10 21:13:00
internet,21:12:33,28.5,72.7,OFF,OFF,No fireflies detected,2026-02-10 21:13:00
internet,21:12:38,28.5,72.7,OFF,OFF,No fireflies detected,2026-02-10 21:13:00
internet,21:12:43,28.5,72.7,OFF,OFF,No fireflies detected,2026-02-10 21:13:00
internet,21:12:48,28.5,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:13:00
internet,21:12:53,28.5,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:13:00
internet,21:12:58,28.5,72.6,ON,OFF,No fireflies detected,2026-02-10 21:13:00
internet,21:13:03,28.5,72.6,ON,OFF,No fireflies detected,2026-02-10 21:13:03
internet,21:13:08,29.2,72.6,ON,OFF,No fireflies detected,2026-02-10 21:13:08
internet,21:13:13,28.5,72.6,ON,OFF,No fireflies detected,2026-02-10 21:13:13
internet,21:13:18,28.5,72.6,ON,OFF,No fireflies detected,2026-02-10 21:13:18
internet,21:13:23,28.5,72.6,ON,OFF,No fireflies detected,2026-02-10 21:13:23
internet,21:13:28,28.5,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:13:28
internet,21:13:33,28.5,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:13:33
internet,21:13:38,28.5,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:13:38
internet,21:13:43,27.9,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:13:43
internet,21:13:48,28.5,72.7,OFF,OFF,Fireflies detected,2026-02-10 21:13:48
internet,21:13:53,28.5,72.7,OFF,OFF,No fireflies detected,2026-02-10 21:13:53
internet,21:13:58,28.5,72.7,OFF,OFF,Strong light detected,2026-02-10 21:13:58
internet,21:14:03,28.5,72.6,OFF,OFF,Strong light detected,2026-02-10 21:14:03
internet,21:14:08,28.5,72.6,OFF,OFF,Fireflies detected,2026-02-10 21:14:08
internet,21:14:13,29.2,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:14:13
internet,21:14:18,28.5,72.7,OFF,OFF,Fireflies detected,2026-02-10 21:14:19
internet,21:14:23,27.9,72.7,OFF,OFF,Fireflies detected,2026-02-10 21:14:24
internet,21:14:28,27.9,72.7,ON,OFF,Strong light detected,2026-02-10 21:14:29
internet,21:14:33,27.9,72.7,ON,OFF,Strong light detected,2026-02-10 21:14:34
internet,21:14:38,27.9,72.6,ON,OFF,Strong light detected,2026-02-10 21:14:39
internet,21:14:43,28.6,72.6,ON,OFF,Strong light detected,2026-02-10 21:14:44
internet,21:14:48,28.6,72.6,ON,OFF,Fireflies detected,2026-02-10 21:14:49
internet,21:14:53,28.6,72.6,ON,OFF,Fireflies detected,2026-02-10 21:14:54
internet,21:14:59,27.9,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:14:59
internet,21:15:04,28.6,72.6,OFF,OFF,Fireflies detected,2026-02-10 21:15:04
internet,21:15:09,29.2,72.6,OFF,OFF,Fireflies detected,2026-02-10 21:15:09
internet,21:15:14,28.6,72.6,OFF,OFF,Strong light detected,2026-02-10 21:15:14
internet,21:15:19,28.6,72.7,OFF,OFF,Strong light detected,2026-02-10 21:15:19
internet,21:15:24,28.6,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:15:24
internet,21:15:29,28.6,72.7,OFF,OFF,Fireflies detected,2026-02-10 21:15:29
internet,21:15:34,28.6,72.6,OFF,OFF,Fireflies detected,2026-02-10 21:15:34
internet,21:15:39,28.6,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:15:39
internet,21:15:44,28.6,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:15:44
internet,21:15:49,28.6,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:15:49
internet,21:15:54,28.6,72.6,OFF,OFF,No fireflies detected,2026-02-10 21:15:54
internet,21:15:59,28.6,72.6,ON,OFF,No fireflies detected,2026-02-10 21:15:59
internet,21:16:04,28.6,72.6,ON,OFF,No fireflies detected,2026-02-10 21:16:04
internet,21:16:09,28.6,72.6,ON,OFF,No fireflies detected,2026-02-10 21:16:09
internet,21:16:14,28.6,72.6,ON,OFF,No fireflies detected,2026-02-10 21:16:14
internet,21:16:19,28.6,72.6,ON,OFF,No fireflies detected,2026-02-10 21:16:19
internet,21:16:24,28.6,72.6,ON,OFF,Strong light detected,2026-02-10 21:16:24
internet,21:16:29,28.6,72.7,OFF,OFF,Strong light detected,2026-02-10 21:16:29
internet,21:16:34,28.6,72.7,OFF,OFF,Strong light detected,2026-02-10 21:16:34
internet,21:16:39,28.6,72.7,OFF,OFF,Strong light detected,2026-02-10 21:16:39
internet,21:16:44,28.6,72.7,OFF,OFF,Strong light detected,2026-02-10 21:16:44
internet,21:26:32,27.7,77.4,ON,OFF,Outside capture hours,2026-02-10 21:26:32
internet,21:26:37,27.7,77.3,ON,ON,Strong light detected,2026-02-10 21:26:37
internet,21:26:42,27.7,77.2,ON,ON,Strong light detected,2026-02-10 21:26:42
internet,21:26:47,27.8,77.1,ON,ON,Strong light detected,2026-02-10 21:26:47
internet,21:26:52,27.8,77.0,ON,ON,Strong light detected,2026-02-10 21:26:52
internet,21:26:57,27.2,76.9,ON,ON,Strong light detected,2026-02-10 21:26:57
internet,21:27:02,27.9,76.7,ON,ON,Strong light detected,2026-02-10 21:27:02
internet,21:27:07,27.9,76.6,OFF,OFF,Strong light detected,2026-02-10 21:27:07
internet,21:27:12,27.9,76.5,OFF,OFF,Strong light detected,2026-02-10 21:27:12
internet,21:27:17,28.0,76.5,OFF,OFF,Strong light detected,2026-02-10 21:27:17
internet,21:27:22,28.6,76.4,OFF,OFF,Strong light detected,2026-02-10 21:27:22
internet,21:27:27,28.0,76.3,OFF,OFF,Strong light detected,2026-02-10 21:27:27
internet,21:27:32,28.0,76.2,OFF,OFF,Strong light detected,2026-02-10 21:27:32
internet,21:27:37,28.0,76.1,OFF,OFF,Strong light detected,2026-02-10 21:27:37
internet,21:27:42,28.7,76.1,OFF,OFF,Strong light detected,2026-02-10 21:27:42
internet,21:27:47,28.1,76.0,OFF,OFF,Strong light detected,2026-02-10 21:27:47
internet,21:27:52,28.1,75.9,OFF,OFF,Strong light detected,2026-02-10 21:27:52
internet,21:27:57,28.1,75.8,OFF,OFF,Strong light detected,2026-02-10 21:27:57
internet,21:28:02,28.1,75.7,OFF,OFF,Strong light detected,2026-02-10 21:28:02
internet,21:28:07,27.5,75.7,ON,OFF,Strong light detected,2026-02-10 21:28:07
internet,21:28:12,28.2,75.7,ON,OFF,Strong light detected,2026-02-10 21:28:12
internet,21:28:17,28.2,75.6,ON,OFF,Strong light detected,2026-02-10 21:28:17
internet,21:28:22,28.2,75.6,ON,OFF,Strong light detected,2026-02-10 21:28:22
internet,21:28:27,28.2,75.5,ON,OFF,Strong light detected,2026-02-10 21:28:27
internet,21:28:32,28.2,75.5,ON,OFF,Strong light detected,2026-02-10 21:28:32
