Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
internet,2026-02-02 18:53:38,33.5,40.7,OFF,OFF,No data,2026-02-02 18:53:37
internet,2026-02-02 18:53:43,33.5,40.6,OFF,OFF,Strong light detected,2026-02-02 18:53:42
internet,2026-02-02 18:53:48,33.5,40.7,OFF,OFF,No fireflies detected,2026-02-02 18:53:47
internet,2026-02-02 18:53:53,33.5,40.7,OFF,OFF,No fireflies detected,2026-02-02 18:53:52
internet,2026-02-02 18:53:58,33.5,40.7,OFF,OFF,No fireflies detected,2026-02-02 18:53:57
internet,2026-02-02 18:54:03,33.5,40.7,ON,OFF,No fireflies detected,2026-02-02 18:54:03
internet,2026-02-02 18:54:08,33.5,40.7,ON,OFF,No fireflies detected,2026-02-02 18:54:08
internet,2026-02-02 18:54:13,33.5,40.7,ON,OFF,No fireflies detected,2026-02-02 18:54:13
internet,2026-02-02 18:54:18,33.5,40.7,ON,OFF,No fireflies detected,2026-02-02 18:54:18
internet,2026-02-02 18:54:23,33.5,40.7,ON,OFF,No fireflies detected,2026-02-02 18:54:23
internet,2026-02-02 18:54:28,33.5,40.6,ON,OFF,No fireflies detected,2026-02-02 18:54:28
internet,2026-02-02 18:54:33,33.5,40.6,ON,OFF,No fireflies detected,2026-02-02 18:54:33
internet,2026-02-02 18:54:38,33.5,40.7,ON,OFF,No fireflies detected,2026-02-02 18:54:38
internet,2026-02-02 18:54:43,33.5,40.5,ON,OFF,No fireflies detected,2026-02-02 18:54:43
internet,2026-02-02 18:54:48,33.5,40.6,ON,OFF,No fireflies detected,2026-02-02 18:54:48
internet,2026-02-02 18:54:53,33.5,40.6,ON,OFF,No fireflies detected,2026-02-02 18:54:53
internet,2026-02-02 18:54:58,33.5,40.6,ON,OFF,No fireflies detected,2026-02-02 18:54:58
internet,2026-02-02 18:55:03,33.5,40.7,OFF,OFF,No fireflies detected,2026-02-02 18:55:03
internet,2026-02-02 18:55:08,33.5,40.6,OFF,OFF,No fireflies detected,2026-02-02 18:55:08
