Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
internet,02:05:43,32.8,56.5,OFF,OFF,Outside capture hours,2026-02-08 02:05:43
internet,02:05:48,32.7,56.6,OFF,OFF,Strong light detected,2026-02-08 02:05:48
internet,02:05:53,32.7,56.6,OFF,OFF,Strong light detected,2026-02-08 02:05:53
internet,02:05:58,32.8,56.6,OFF,OFF,Strong light detected,2026-02-08 02:05:58
internet,02:06:03,32.7,56.6,OFF,OFF,Strong light detected,2026-02-08 02:06:03
internet,02:06:08,32.7,56.6,OFF,OFF,Strong light detected,2026-02-08 02:06:08
internet,02:06:13,32.7,56.6,OFF,OFF,Strong light detected,2026-02-08 02:06:13
internet,02:06:18,32.7,56.7,OFF,OFF,Strong light detected,2026-02-08 02:06:18
internet,02:06:23,32.7,56.7,OFF,OFF,Strong light detected,2026-02-08 02:06:23
internet,02:06:28,32.7,56.7,OFF,OFF,Strong light detected,2026-02-08 02:06:28
internet,02:06:33,32.7,56.7,OFF,OFF,Strong light detected,2026-02-08 02:06:33
internet,02:06:38,32.7,56.7,OFF,OFF,No fireflies detected,2026-02-08 02:06:38
internet,02:06:43,32.7,56.8,OFF,OFF,No fireflies detected,2026-02-08 02:06:43
internet,02:06:48,32.7,56.8,OFF,OFF,No fireflies detected,2026-02-08 02:06:48
internet,02:06:53,32.7,56.9,OFF,OFF,No fireflies detected,2026-02-08 02:06:53
internet,02:06:58,32.7,56.9,OFF,OFF,Strong light detected,2026-02-08 02:06:58
internet,02:07:04,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:03
internet,02:07:09,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:08
internet,02:07:14,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:13
internet,02:07:19,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:19
internet,02:07:24,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:24
internet,02:07:29,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:29
internet,02:07:34,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:34
internet,02:07:39,32.7,56.9,OFF,OFF,Strong light detected,2026-02-08 02:07:39
internet,02:07:44,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:44
internet,02:07:49,32.7,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:49
internet,02:07:54,32.7,56.9,OFF,OFF,Strong light detected,2026-02-08 02:07:54
internet,02:07:59,32.6,56.8,OFF,OFF,Strong light detected,2026-02-08 02:07:59
internet,02:08:04,32.6,56.9,ON,OFF,Strong light detected,2026-02-08 02:08:04
internet,02:08:09,32.7,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:09
internet,02:08:14,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:14
internet,02:08:19,32.6,56.9,OFF,OFF,No fireflies detected,2026-02-08 02:08:19
internet,02:08:24,32.6,56.9,OFF,OFF,No fireflies detected,2026-02-08 02:08:24
internet,02:08:29,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:29
internet,02:08:34,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:34
internet,02:08:39,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:39
internet,02:08:44,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:08:44
internet,02:08:49,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:49
internet,02:08:54,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:54
internet,02:08:59,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:08:59
internet,02:09:04,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:09:04
internet,02:09:09,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:09:09
internet,02:09:14,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:14
internet,02:09:19,32.6,56.9,OFF,OFF,Strong light detected,2026-02-08 02:09:19
internet,02:09:24,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:24
internet,02:09:29,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:29
internet,02:09:34,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:34
internet,02:09:39,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:39
internet,02:09:44,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:09:44
internet,02:09:49,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:49
internet,02:09:54,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:09:54
internet,02:09:59,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:09:59
internet,02:10:04,32.6,57.0,OFF,OFF,Strong light detected,2026-02-08 02:10:04
internet,02:10:09,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:09
internet,02:10:14,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:14
internet,02:10:19,32.6,57.2,OFF,OFF,Strong light detected,2026-02-08 02:10:19
internet,02:10:24,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:24
internet,02:10:29,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:29
internet,02:10:34,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:34
internet,02:10:39,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:10:39
internet,02:10:44,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:44
internet,02:10:49,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:49
internet,02:10:54,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:54
internet,02:10:59,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:10:59
internet,02:11:04,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:11:04
internet,02:11:09,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:11:09
internet,02:11:14,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:11:14
internet,02:11:19,32.6,57.1,OFF,OFF,Strong light detected,2026-02-08 02:11:19
internet,02:11:24,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:11:24
internet,02:11:29,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:11:29
internet,02:11:34,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:11:34
internet,02:11:39,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:11:39
internet,02:11:45,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:11:44
internet,02:11:50,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:11:49
internet,02:11:55,32.6,57.2,OFF,OFF,Strong light detected,2026-02-08 02:11:55
internet,02:12:00,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:00
internet,02:12:05,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:05
internet,02:12:10,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:10
internet,02:12:15,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:15
internet,02:12:20,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:20
internet,02:12:25,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:12:25
internet,02:12:30,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:12:30
internet,02:12:35,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:35
internet,02:12:40,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:40
internet,02:12:45,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:12:45
internet,02:12:50,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:12:50
internet,02:12:55,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:12:55
internet,02:13:00,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:13:00
internet,02:13:05,32.5,57.1,OFF,OFF,Strong light detected,2026-02-08 02:13:05
internet,02:13:10,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:13:10
internet,02:13:15,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:15
internet,02:13:20,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:20
internet,02:13:25,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:25
internet,02:13:30,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:30
internet,02:13:35,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:35
internet,02:13:40,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:40
internet,02:13:45,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:13:45
internet,02:13:50,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:13:50
internet,02:13:55,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:13:55
internet,02:14:00,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:14:00
internet,02:14:05,32.5,57.3,OFF,OFF,Strong light detected,2026-02-08 02:14:05
internet,02:14:10,32.5,57.2,OFF,OFF,Strong light detected,2026-02-08 02:14:10
